class,fire_angle,init_veloc,alcance,alt_max,veloc,rcsmed,rcsMSD,beta
GH,27.74904759908513,375.7574409108228,5208.577713485669,1370.1275066646235,223.18707459081614,-22.344603291111547,0.557287155810652,1826.8188695607028
GH,26.045167097717115,361.08707155419074,7946.428148236628,1111.8570710047807,253.44397800909348,-26.174746243616863,4.877375069575422,8780.275638891519
GH,29.86767522554578,367.3291472324326,8054.484030689825,1430.6933808227875,235.2487614669577,-16.84229669755016,0.0658958761617896,5773.9773025483155
GH,31.9401412768351,363.5051819542266,8748.582158449011,1593.2976279257311,236.967252612045,-27.51231263035941,2.61156469978636,7531.871099118085
GH,35.75128368330734,367.6082463753705,8661.406898969126,1936.889760030603,217.4935731957888,-14.960257716940152,0.34567021675918497,5134.6318546372295
GH,39.34753485137477,390.82355104136025,7066.287908975796,2325.8204831302805,175.47190546871715,-19.45189780372663,0.3710299239137598,1430.784754783694
GH,52.1453740853156,420.55192026810784,3889.8587926234736,2276.994190666205,115.10762834191516,-17.867984661481895,0.867495120429929,587.2044038356387
GH,43.70671650418846,368.2662742012481,6078.455236604284,2827.6125390616276,257.0012307077165,-25.952903362473478,7.431249591509594,2938.811795933092
GH,45.5293058905124,392.31672169411485,6154.675161958793,2755.601291483949,151.65580543026815,-25.97485484015765,0.90632746090197,1091.0239502838022
GH,49.32696828139466,389.2841555153472,5520.92313045589,3272.1480057312538,166.7332854163847,-26.081150138140032,0.31618007648947355,1234.451842536993
GH,55.83392714005155,391.14812398729003,6330.408512580931,3096.1356362049632,195.03843039173648,-20.612796143603425,5.190501787613062,1856.105127586773
GH,41.80807583768872,370.37558710814653,8851.57387290858,2486.8130159596176,204.15512514340188,-15.285147820303441,3.6324507312471344,2916.91771719627
GH,53.38480921396222,391.26833295384046,6755.4366887569695,3664.9057102021643,143.9544512894149,-14.135901908321006,0.050735296573439115,1240.8807991319252
GH,25.856454843500494,428.02493618851224,7638.633410483063,1358.547728514445,247.99957599783264,-20.15324192452497,0.16430859648398766,2478.691027074794
GH,63.77191098190502,422.082677127558,2740.3514408380083,3999.31718565965,102.39731428920815,-15.647125393954457,6.096955605754376,866.284653464208
GH,70.12165948873685,411.6123452335658,3358.284513173632,3170.1031905531063,124.30965639085801,-20.19122652156647,5.500301629526422,780.7777219147163
GH,30.523744861056993,399.9515547676359,10281.777199398657,1735.6038226001867,289.8998397963392,-3.0322978625754278,0.8407865830749706,11567.255314638156
GH,65.41516195218101,386.1877554945978,4953.2559090370305,4486.8762875572775,166.73861458300797,-28.38440519371024,1.5408135939582372,1570.7978845848143
GH,31.901671251625874,440.716015641498,8342.741218480029,1756.797696424671,242.23966159406132,-23.114425707698764,2.1706466152143697,2323.062081597216
GH,57.910235822139505,365.8109028289804,8411.666737467134,3934.410869155759,220.46411819360574,-24.0575959139271,3.3652483840052803,3573.592072388288
GH,67.7382391819646,386.3940446351287,5581.108005036052,4552.2151208254945,100.03927128480056,-21.545260301470012,9.063856057775059,1641.494719244678
GH,35.697342673508,430.38790368440823,9432.376813506597,2169.8878641945316,246.2237238010869,-18.329205221482038,1.502132858379447,4452.214890308545
